Variable,N_Obs(>0 et non NA),Outliers_IQR,%_IQR,Outliers_Z,%_Z,Outliers_Log_Z,%_Log_Z
SecondLargestPropertyUseTypeGFA,1679,206,12.3,33,2.0,126,7.5
SteamUse(kBtu),3367,130,3.9,16,0.5,130,3.9
ENERGYSTARScore,2533,0,0.0,0,0.0,74,2.9
SiteEUIWN(kBtu/sf),3370,251,7.4,78,2.3,54,1.6
SourceEUIWN(kBtu/sf),3366,295,8.8,67,2.0,53,1.6
SiteEUI(kBtu/sf),3369,264,7.8,79,2.3,48,1.4
SourceEUI(kBtu/sf),3367,302,9.0,68,2.0,46,1.4
GHGEmissionsIntensity,3366,263,7.8,64,1.9,46,1.4
LargestPropertyUseTypeGFA,3356,354,10.5,31,0.9,36,1.1
PropertyGFATotal,3376,370,11.0,35,1.0,35,1.0
SiteEnergyUseWN(kBtu),3370,381,11.3,37,1.1,30,0.9
SiteEnergyUse(kBtu),3371,383,11.4,18,0.5,26,0.8
Electricity(kWh),3366,391,11.6,24,0.7,24,0.7
Electricity(kBtu),3366,391,11.6,24,0.7,23,0.7
TotalGHGEmissions,3366,367,10.9,21,0.6,12,0.4
NaturalGas(kBtu),3367,336,10.0,16,0.5,0,0.0
NaturalGas(therms),3367,336,10.0,16,0.5,0,0.0
